Date,M3,M3 (Excluding Merger),1.1 Currency with the Public,1.2 Demand Deposits with Banks,1.3 Time Deposits with Banks,1.3 Time Deposits with Banks (Excluding Merger),1.4 ‘Other’ Deposits with Reserve Bank,2.1 Net Bank Credit to Government,2.1 Net Bank Credit to Government (Excluding Merger),2.1.1 Reserve Bank,2.1.2 Other Banks,2.1.2 Other Banks (Excluding Merger),2.2 Bank Credit to Commercial Sector,2.2 Bank Credit to Commercial Sector (Excluding Merger),2.2.1 Reserve Bank,2.2.2 Other Banks,2.2.2 Other Banks (Excluding Merger),2.3 Net Foreign Exchange Assets of Banking Sector,2.4 Government's Currency Liabilities to the Public,2.5 Banking Sectors Net Non-Monetary Liabilities,2.5 Banking Sectors Net Non-Monetary Liabilities (Excluding Merger),2.5.1 Net Non-Monetary Liabilities of RBI,
15-Jan-26,"2,95,02,905",,"38,89,772","31,37,965","2,23,58,589",,"1,16,579","88,35,589",,"17,07,315","71,28,274",,"2,09,58,810",,"16,954","2,09,41,856",,"66,49,134","39,895","69,80,523",-,"28,39,420",
31-Dec-25,"2,97,98,544",,"38,28,361","34,22,658","2,24,32,527",,"1,14,999","87,50,686",,"15,45,561","72,05,125",,"2,11,44,789",,"20,322","2,11,24,468",,"65,85,472","39,895","67,22,299",-,"27,69,495",
15-Dec-25,"2,90,58,340",,"38,20,476","30,65,541","2,20,57,742",,"1,14,582","88,14,395",,"16,12,903","72,01,492",,"2,05,06,634",,"11,439","2,04,95,194",,"66,88,751","39,721","69,91,160",-,"28,10,781",
28-Nov-25,"2,91,36,713",,"37,72,033","31,58,233","2,20,88,554",,"1,17,894","88,49,635",,"16,44,157","72,05,477",,"2,03,38,419",,"11,701","2,03,26,717",,"65,44,991","39,555","66,35,886",-,"26,54,752",
14-Nov-25,"2,89,45,871",,"37,51,591","31,37,173","2,19,43,512",,"1,13,595","87,87,412",,"16,33,175","71,54,237",,"2,01,77,383",,"10,230","2,01,67,154",,"65,55,004","39,231","66,13,159",-,"26,05,985",
31-Oct-25,"2,89,97,506",,"37,20,545","32,45,815","2,19,15,977",,"1,15,169","87,39,870",,"15,29,911","72,09,958",,"2,02,03,749",,"13,603","2,01,90,146",,"65,32,531","39,231","65,17,874",-,"25,59,728",
17-Oct-25,"2,87,14,438",,"37,29,092","31,18,912","2,17,51,523",,"1,14,910","86,93,936",,"14,91,026","72,02,910",,"2,00,23,678",,"14,936","2,00,08,742",,"65,89,610","38,864","66,31,649",-,"26,09,138",
03-Oct-25,"2,88,95,269",,"36,98,492","32,16,575","2,18,66,350",,"1,13,853","87,34,167",,"15,38,514","71,95,653",,"2,00,68,221",,"12,613","2,00,55,608",,"66,22,726","38,864","65,68,708",-,"25,69,200",
19-Sep-25,"2,83,50,281",,"37,06,688","30,04,901","2,15,22,189",,"1,16,503","84,90,309",,"13,24,495","71,65,814",,"1,97,09,575",,"15,669","1,96,93,906",,"65,97,919","38,438","64,85,961",-,"24,63,314",
05-Sep-25,"2,84,76,013",,"37,18,989","30,35,554","2,16,11,139",,"1,10,330","87,47,071",,"16,07,508","71,39,564",,"1,96,00,218",,"9,833","1,95,90,385",,"65,81,276","38,057","64,90,610",,"24,31,271",
22-Aug-25,"2,83,08,502",,"37,15,737","30,32,516","2,14,50,604",,"1,09,645","85,85,943",,"15,11,706","70,74,237",,"1,94,49,509",,"13,069","1,94,36,439",,"64,67,254","38,057","62,32,262",,"22,88,911",
08-Aug-25,"2,82,88,712",,"37,27,559","29,90,112","2,14,61,319",,"1,09,722","86,81,282",,"16,15,236","70,66,046",,"1,94,07,619",,"12,425","1,93,95,194",,"65,01,980","38,057","63,40,226",,"23,33,098",
25-Jul-25,"2,81,39,873",,"37,07,458","30,18,666","2,13,06,108",,"1,07,642","85,41,317",,"15,02,150","70,39,167",,"1,93,00,981",,"12,383","1,92,88,597",,"64,65,942","38,057","62,06,423",,"22,35,868",
11-Jul-25,"2,81,41,256",,"37,29,016","29,44,828","2,13,57,280",,"1,10,133","86,14,205",,"15,86,327","70,27,878",,"1,92,66,495",,"7,965","1,92,58,530",,"64,04,968","37,652","61,82,063",,"21,76,784",
27-Jun-25,"2,82,30,456","2,81,77,829","37,22,652","32,15,375","2,11,83,731","2,11,31,104","1,08,697","85,20,033","84,73,446","15,13,361","70,06,672","69,60,086","1,92,83,371","1,88,88,886","9,029","1,92,74,342","1,88,79,856","64,36,658","37,652","60,47,258","56,58,812","21,68,644",
13-Jun-25,"2,78,96,574","2,78,42,794","37,44,990","30,01,877","2,10,40,863","2,09,87,083","1,08,844","86,02,857","85,56,270","16,02,562","70,00,295","69,53,707","1,91,13,760","1,87,15,304","10,263","1,91,03,496","1,87,05,041","64,49,305","37,291","63,06,639","59,15,376","21,81,690",
30-May-25,"2,79,89,937","2,79,34,898","37,36,896","31,31,530","2,10,11,378","2,09,56,339","1,10,133","84,93,151","84,46,563","14,79,315","70,13,836","69,67,248","1,90,89,019","1,86,90,046","14,393","1,90,74,626","1,86,75,653","63,50,876","37,291","59,80,400","55,89,878","20,99,222",
16-May-25,"2,77,06,384","2,76,50,168","37,44,459","29,84,812","2,08,71,567","2,08,15,351","1,05,547","87,37,129","86,90,546","17,46,157","69,90,972","69,44,389","1,90,34,855","1,86,28,149","19,079","1,90,15,776","1,86,09,069","62,99,163","36,922","64,01,686","60,04,612","23,00,152",
02-May-25,"2,78,24,651","2,77,67,318","37,13,241","30,61,827","2,09,43,231","2,08,85,898","1,06,352","86,72,729","86,26,146","16,52,602","70,20,127","69,73,543","1,90,93,866","1,86,83,378","20,762","1,90,73,105","1,86,62,616","62,32,875","36,922","62,11,742","58,12,003","22,57,212",
18-Apr-25,"2,76,30,685","2,75,72,152","36,93,751","27,82,612","2,10,50,572","2,09,92,039","1,03,750","86,23,867","85,76,102","16,26,509","69,97,358","69,49,593","1,89,95,997","1,85,83,507","19,280","1,89,76,717","1,85,64,228","62,90,117","36,632","63,15,928","59,14,205","23,08,158",
04-Apr-25,"2,78,43,776","2,77,83,909","36,50,071","29,26,145","2,11,64,353","2,11,04,486","1,03,207","85,49,079","85,01,313","15,77,390","69,71,689","69,23,923","1,92,10,628","1,87,94,027","21,538","1,91,89,091","1,87,72,489","61,99,774","36,632","61,52,337","57,47,836","22,05,404",
31-Mar-25,"2,72,86,589","2,72,27,143","36,30,751","28,40,023","2,07,02,508","2,06,43,062","1,13,307","85,10,825","84,63,065","15,08,105","70,02,720","69,54,959","1,90,68,129","1,86,46,762","38,246","1,90,29,883","1,86,08,516","61,48,527","36,632","64,77,524","60,67,843","21,47,427",
21-Mar-25,"2,72,73,801","2,72,14,355","36,20,845","28,40,023","2,07,02,508","2,06,43,062","1,10,426","81,83,590","81,35,829","11,80,870","70,02,720","69,54,959","1,90,65,706","1,86,44,339","35,823","1,90,29,883","1,86,08,516","60,98,084","36,306","61,09,884","57,00,203","21,59,098",
07-Mar-25,"2,71,67,848","2,71,07,256","35,89,488","26,83,258","2,07,86,318","2,07,25,726","1,08,784","83,18,035","82,67,354","12,74,550","70,43,485","69,92,805","1,89,35,425","1,85,08,695","26,944","1,89,08,482","1,84,81,752","59,98,916","36,306","61,20,834","57,04,016","21,78,275",
