Fortnight Ended,Ratios,,,,,,,,,
,Cash-Deposit Ratio(Including merger),Cash-Deposit Ratio,Credit-Deposit Ratio(Including merger),Credit-Deposit Ratio,Incremental Credit-Deposit Ratio(Including merger),Incremental Credit-Deposit Ratio,Investment-Deposit Ratio(Including merger),Investment-Deposit Ratio,Incremental Investment-Deposit Ratio(Including merger),Incremental Investment-Deposit Ratio
"Jan 15, 2026",3.25,-,82.17,-,98.39,-,27.79,-,5.73,-
"Dec 31, 2025",3.2,-,81.75,-,91.21,-,27.7,-,8.22,-
"Dec 15, 2025",3.43,-,81.61,-,93.51,-,28.52,-,11.82,-
"Nov 28, 2025",3.55,-,80.49,-,76.41,-,28.39,-,11.23,-
"Nov 14, 2025",3.6,-,80.4,-,74.49,-,28.37,-,9.04,-
"Oct 31, 2025",3.85,-,80.22,-,72.07,-,28.5,-,12.04,-
"Oct 17, 2025",3.83,-,80.44,-,74.34,-,28.83,-,14.37,-
"Oct 3, 2025",4.04,-,79.93,-,67.02,-,28.53,-,11.75,-
"Sep 19, 2025",4.1,-,80.28,-,68.21,-,29.08,-,15.36,-
"Sep 5, 2025",4.27,-,79.43,-,51.15,-,28.81,-,11.22,-
"Aug 22, 2025",4.33,4.33,79.33,77.89,43.6,47.69,28.75,28.62,6.39,6.81
"Aug 8, 2025",4.28,4.29,79.27,77.82,40.63,44.77,28.76,28.64,5.86,6.3
"Jul 25, 2025",4.29,4.3,79.24,77.76,33.46,37.75,28.81,28.7,3.76,4.65
"Jul 11, 2025",4.35,4.36,79.18,77.7,30.32,34.59,28.79,28.66,2.46,2.59
"Jun 27, 2025",4.35,4.36,78.91,77.4,28.66,31.59,28.59,28.45,-0.13,0.01
"Jun 13, 2025",4.43,4.44,79.39,77.84,14.31,18.77,29.01,28.87,-1.31,-1.05
"May 30, 2025",4.5,4.51,78.92,77.38,7.33,11.03,28.94,28.81,1.48,1.67
"May 16, 2025",4.43,4.44,79.64,78.05,-5.3,-0.52,29.21,29.07,-4.38,-3.96
"May 2, 2025",4.42,4.43,79.38,77.79,9.03,11.38,29.15,29.02,3.46,3.7
"Apr 18, 2025",4.33,4.35,79.56,77.95,-20.02,-16.8,29.28,29.14,-1.6,-1.6
"Apr 4, 2025",4.36,4.37,79.61,78.01,29.41,30.32,28.83,28.7,-6.27,-6.27
"Mar 21, 2025",4.27,4.28,80.79,79.14,86.06,89.18,29.66,29.53,28.09,29.49
"Mar 7, 2025",4.31,4.32,80.52,78.84,83.21,86.3,29.93,29.79,31,32.25
"Feb 21, 2025",4.35,4.36,80.73,79,86.11,89.21,29.85,29.7,30.1,31.54
"Feb 7, 2025",4.31,4.32,80.46,78.73,82.76,85.8,29.93,29.79,31.12,32.52
"Jan 24, 2025",4.41,4.42,80.76,78.99,86.98,89.98,29.99,29.85,32.03,33.6
"Jan 10, 2025",4.57,4.58,80.35,78.64,81.58,85.3,29.92,29.78,31.14,32.73
"Dec 27, 2024",4.66,4.68,80.42,78.67,82.58,86.13,29.9,29.75,30.82,32.53
"Dec 13, 2024",4.85,4.86,79.69,77.91,72.49,75.91,29.71,29.57,28.27,30.06
"Nov 29, 2024",5.06,5.08,79.52,77.7,69.82,72.82,29.7,29.56,28.03,29.89
"Nov 15, 2024",5.04,5.06,79.44,77.6,67.41,70.73,29.69,29.56,27.77,29.87
"Nov 1, 2024",4.93,4.94,79.16,77.32,64.79,67.67,29.77,29.62,29.04,30.74
"Oct 18, 2024",4.93,4.95,79.04,77.16,60.42,63.6,29.76,29.57,28.72,30.16
"Oct 4, 2024",4.93,4.95,78.91,77.04,59.91,62.78,29.45,29.26,24.21,25.54
"Sep 20, 2024",4.85,4.86,79.63,77.69,67.24,70.27,29.77,29.58,28.71,30.46
"Sep 6, 2024",5.01,5.02,79.1,77.16,57.15,60.25,29.62,29.43,25.78,27.57
"Aug 23, 2024",4.95,4.97,79.46,77.47,60.38,63.52,29.85,29.66,30.47,32.48
"Aug 9, 2024",4.97,4.99,79.14,77.14,52.51,55.64,29.67,29.48,25.97,28.18
"Jul 26, 2024",5.07,5.09,79.33,77.31,53.14,56.33,29.79,29.6,28.84,31.39
"Jul 12, 2024",4.94,4.96,79.39,77.37,54.12,57.5,29.78,29.6,28.64,31.41
"Jun 28, 2024",5.07,5.09,79.31,77.29,55.52,57.93,28.93,28.74,6.37,9.39
"Jun 14, 2024",5.11,5.14,79.92,77.85,64.12,67.38,29.81,29.54,29.19,29.68
"May 31, 2024",4.94,4.96,79.59,77.51,57.23,59.17,29.32,29.05,12.57,13.38
"May 17, 2024",4.97,4.99,79.76,77.65,49.73,53.07,29.78,29.52,27.41,28.49
"May 3, 2024",5.02,5.05,79.43,77.34,43.09,45.47,29.71,29.45,24.64,25.67
"Apr 19, 2024",5.03,5.06,79.48,77.36,21.97,25.33,29.63,29.36,15.05,16.45
"Apr 5, 2024",4.86,4.89,79.02,76.92,30.67,31.93,29.31,29.05,9.41,10.13
"Mar 22, 2024",4.99,5.01,80.25,78.07,113.39,95.83,29.82,29.53,28.44,25.82
"Mar 8, 2024",4.9,4.92,79.89,77.71,111.03,92.97,29.9,29.61,29.02,26.39
"Feb 23, 2024",4.91,4.94,80.25,78.03,117.49,97.77,29.94,29.65,29.32,26.46
"Feb 9, 2024",4.91,4.94,79.96,77.68,114.91,94.45,29.98,29.69,29.72,26.84
"Jan 26, 2024",5.07,5.1,79.98,77.67,117.52,95.59,29.78,29.49,27.74,24.52
"Jan 12, 2024",5.04,5.07,79.91,77.54,118.23,94.87,30.05,29.75,30.46,27.15
"Dec 29, 2023",5.15,5.18,79.46,77.08,111.92,89.17,29.82,29.5,28.15,24.68
"Dec 15, 2023",5.16,5.19,79.73,77.31,120.4,94.16,30.12,29.79,31.21,27.38
"Dec 1, 2023",5.16,5.19,79.58,77.16,116.7,91.58,30.33,29.99,33.42,29.79
"Nov 17, 2023",5.09,5.12,79.49,77.04,120.99,92.25,30.89,30.54,40.72,37.05
"Nov 3, 2023",5.22,5.26,79.06,76.61,114.45,86.26,31.01,30.67,41.83,38.42
"Oct 20, 2023",5.17,5.2,79.21,76.73,121.11,89.42,31.02,30.66,43.36,39.4
"Oct 6, 2023",5.38,5.42,78.22,75.76,106.34,75.38,30.92,30.57,41.36,37.59
"Sep 22, 2023",5.46,5.5,78.58,76.07,119.35,80.72,31.02,30.66,45.78,41.4
"Sep 8, 2023",5.63,5.67,77.57,75.06,101.42,64.08,30.86,30.5,42.22,37.87
"Aug 25, 2023",5.74,5.78,77.53,74.97,103.76,60.93,30.67,30.32,40.64,35.58
"Aug 11, 2023",5.3,5.34,77.25,74.69,99.43,55.78,30.74,30.39,41.81,36.97
"Jul 28, 2023",5.2,5.24,77.15,74.55,99.01,51.58,30.47,30.11,37.77,32.04
"Jul 14, 2023",5.1,5.14,77.49,74.87,108.54,54.94,30.57,30.22,40.8,34.84
"Jun 30, 2023",5.14,5.14,75.09,75.09,63.71,63.71,29.6,29.6,22.97,22.97
"Jun 16, 2023",5.16,5.16,75.53,75.53,66.46,66.46,30.4,30.4,43.72,43.72
"Jun 2, 2023",5.2,5.2,74.9,74.9,50.71,50.71,29.98,29.98,29.2,29.2
"May 19, 2023",5.16,5.16,75.61,75.61,65.8,65.8,30.21,30.21,40.96,40.96
"May 5, 2023",5.07,5.07,75.4,75.4,57.67,57.67,29.94,29.94,26.68,26.68
"Apr 21, 2023",5.11,5.11,75.69,75.69,68.76,68.76,29.74,29.74,11.32,11.32
"Apr 7, 2023",4.93,4.93,75.08,75.08,43.39,43.39,29.94,29.94,26.89,26.89
"Mar 24, 2023",4.99,4.99,75.79,75.79,113.01,113.01,30.01,30.01,43.47,43.47
"Mar 10, 2023",5.09,5.09,75.44,75.44,111,111,29.99,29.99,44.04,44.04
"Feb 24, 2023",5.01,5.01,75.3,75.3,111.63,111.63,29.88,29.88,43.58,43.58
"Feb 10, 2023",5.13,5.13,75.49,75.49,116.7,116.7,29.64,29.64,41.2,41.2
"Jan 27, 2023",5.21,5.21,75.27,75.27,115.32,115.32,29.32,29.32,37.13,37.13
"Jan 13, 2023",5.13,5.13,75.12,75.12,114.55,114.55,29.42,29.42,38.99,38.99
"Dec 30, 2022",5.3,5.3,75.04,75.04,111.59,111.59,28.74,28.74,28.94,28.94
"Dec 16, 2022",5.26,5.26,75.8,75.8,142.07,142.07,29.55,29.55,44.84,44.84
"Dec 2, 2022",5.3,5.3,74.79,74.79,114.74,114.74,29.22,29.22,37.05,37.05
"Nov 18, 2022",5.36,5.36,74.85,74.85,126.98,126.98,29.41,29.41,42.99,42.99
"Nov 4, 2022",5.29,5.29,74.43,74.43,114.86,114.86,29.26,29.26,39.15,39.15
"Oct 21, 2022",5.29,5.29,74.89,74.89,134.29,134.29,29.36,29.36,43.69,43.69
"Oct 7, 2022",5.19,5.19,74.48,74.48,121.19,121.19,29.57,29.57,47.03,47.03
"Sep 23, 2022",5.15,5.15,74.15,74.15,130.33,130.33,29.8,29.8,61.18,61.18
"Sep 9, 2022",5.21,5.21,73.59,73.59,111.67,111.67,29.91,29.91,63.15,63.15
"Aug 26, 2022",5.14,5.14,73.31,73.31,107.34,107.34,29.82,29.82,64.01,64.01
"Aug 12, 2022",5.42,5.42,73.31,73.31,110.56,110.56,29.93,29.93,71.07,71.07
"Jul 29, 2022",5.56,5.56,72.88,72.88,94.29,94.29,29.54,29.54,56.28,56.28
"Jul 15, 2022",5.32,5.32,73.06,73.06,113.05,113.05,29.69,29.69,75.87,75.87
"Jul 1, 2022",5.32,5.32,73.01,73.01,99.12,99.12,29.24,29.24,46.56,46.56
"Jun 17, 2022",5.49,5.49,73.33,73.33,249.07,249.07,29.46,29.46,146.75,146.75
